crime,count,broad,detailed
ATT SOLICITATION OF A MINOR,1,Child Sex Crime,Soliciting - Child
ONLINE SOLICITATION OF MINOR,172,Child Sex Crime,Soliciting - Child
BREACH COMPUTER SECURITY,24,Computer Crime,Computer Crime
COMPUTER SECURITY BREACH,4,Computer Crime,Computer Crime
COMPUTER SECURITY BREACH <$20K,16,Computer Crime,Computer Crime
COMPUTER SECURITY BREACH>$20K<,1,Computer Crime,Computer Crime
COMPUTER TAMPERING-DESTROY DAT,8,Computer Crime,Computer Crime
HARMFUL ACCESS TO COMPUTER,7,Computer Crime,Computer Crime
UNL ACCESS STORED COMMUN BENEF,2,Computer Crime,Computer Crime
UNL INTERC WIRE/ORAL/ELEC COMM,19,Computer Crime,Computer Crime
UNLAWFUL INSTALL OF TRACKING D,7,Computer Crime,Computer Crime
UNLAWFUL INTERCEPT WIRE COMM,42,Computer Crime,Computer Crime
MAN/SALE/DIST DECODING DEVICE,6,Computer Crime,Computer Crime
COM SEC BREACH IDNT INFO FRM 1,3,Computer Crime,Computer Crime
COMP SEC BREACH GVT/INFST COM,1,Computer Crime,Computer Crime
UNL INTERC OF WIRE/ORAL/ELEC C,1,Computer Crime,Computer Crime
CONSP. W-I DELMARIJUANA,13,Controlled Substances - Marijuana,CS Delivery Marijuana
DEL MARIJ 5 TO 50 LBS,164,Controlled Substances - Marijuana,CS Delivery Marijuana
DEL MARIJ 5-50 LB,382,Controlled Substances - Marijuana,CS Delivery Marijuana
DEL MARIJ TO MINOR,17,Controlled Substances - Marijuana,CS Delivery Marijuana
DELIVER MARIJUANA,921,Controlled Substances - Marijuana,CS Delivery Marijuana
DELIVER MARIJUANA FREE,43,Controlled Substances - Marijuana,CS Delivery Marijuana
MAN/DEL/POSS CS/MARIJ D/FREE Z,1,Controlled Substances - Marijuana,CS Delivery Marijuana
POSS W-I TO DELIVER MARIJUANA,8,Controlled Substances - Marijuana,CS Delivery Marijuana
POSS W/I TO DEL MARIJUANA,1,Controlled Substances - Marijuana,CS Delivery Marijuana
SALE MARIJUANA,6,Controlled Substances - Marijuana,CS Delivery Marijuana
CONSP W/I DEL MARIJ 50-2000 LB,1,Controlled Substances - Marijuana,CS Delivery Marijuana L
CONSP W/I/DEL MARIJ 50-2000 LB,1,Controlled Substances - Marijuana,CS Delivery Marijuana L
DEL MARIJ 200-2000 LB,102,Controlled Substances - Marijuana,CS Delivery Marijuana L
DEL MARIJ 50-200 LB,371,Controlled Substances - Marijuana,CS Delivery Marijuana L
DEL MARIJ 50-2000 LBS,207,Controlled Substances - Marijuana,CS Delivery Marijuana L
DEL MARIJ OVER 2000 LB,8,Controlled Substances - Marijuana,CS Delivery Marijuana L
DEL MARIJ 0-1/4 OZ N/REMUN,397,Controlled Substances - Marijuana,CS Delivery Marijuana S
DEL MARIJ 0-1/4 OZ W/REMUN,2036,Controlled Substances - Marijuana,CS Delivery Marijuana S
DEL MARIJ 1/4 OZ - 5 LBS,1327,Controlled Substances - Marijuana,CS Delivery Marijuana S
DEL MARIJ 1/4 OZ LT 4 OZ,93,Controlled Substances - Marijuana,CS Delivery Marijuana S
DEL MARIJ 1/4-4 OZ,1507,Controlled Substances - Marijuana,CS Delivery Marijuana S
DEL MARIJ 4OZ-5LB,361,Controlled Substances - Marijuana,CS Delivery Marijuana S
DEL MARIJ<=1/4OZ DRUG FREE ZON,3,Controlled Substances - Marijuana,CS Delivery Marijuana S
DEL MARIJ<=1/4OZ REMUN D/FREE,1,Controlled Substances - Marijuana,CS Delivery Marijuana S
DEL MARIJ<=5LBS>1/4OZ D/FREE Z,1,Controlled Substances - Marijuana,CS Delivery Marijuana S
ATT POSSESS MARIJANA,18,Controlled Substances - Marijuana,CS Possession Marijuana
ATTEMPT TO POSS MARIHUANA,7,Controlled Substances - Marijuana,CS Possession Marijuana
ATTEMPTED POSS MARIJ 50-2000 L,2,Controlled Substances - Marijuana,CS Possession Marijuana
POSS MARIJ  5 - 50 LBS.,2253,Controlled Substances - Marijuana,CS Possession Marijuana
POSS MARIJ 5-50 LB,1541,Controlled Substances - Marijuana,CS Possession Marijuana
POSS MARIJ 50-200 LB,429,Controlled Substances - Marijuana,CS Possession Marijuana
POSS MARIJ>5LBS DRUG FREE ZONE,3,Controlled Substances - Marijuana,CS Possession Marijuana
POSS MARIJUANA,105,Controlled Substances - Marijuana,CS Possession Marijuana
TAKE MARIJUANA INTO PENAL INS,8,Controlled Substances - Marijuana,CS Possession Marijuana
POS MARIJ OVER 2000 LB,115,Controlled Substances - Marijuana,CS Possession Marijuana L
POSS MARIJ 200-2000 LB,259,Controlled Substances - Marijuana,CS Possession Marijuana L
POSS MARIJ 50-2000 LBS.,1418,Controlled Substances - Marijuana,CS Possession Marijuana L
POSS MARIJ  4 OZ. - 5 LBS.,6842,Controlled Substances - Marijuana,CS Possession Marijuana S
POSS MARIJ 0-2 OZ,172310,Controlled Substances - Marijuana,CS Possession Marijuana S
POSS MARIJ 4OZ-5LB,2503,Controlled Substances - Marijuana,CS Possession Marijuana S
POSS MARIJ M/THAN 4OZS-LT 5LBS,176,Controlled Substances - Marijuana,CS Possession Marijuana S
POSS MARIJ<=2OZ DRUG FREE ZONE,1326,Controlled Substances - Marijuana,CS Possession Marijuana S
POSS MARIJ<=4OZ>2OZ DRUG FREE,17,Controlled Substances - Marijuana,CS Possession Marijuana S
POSS MARIJ<=5LBS>4OZ DRUG FREE,10,Controlled Substances - Marijuana,CS Possession Marijuana S
POSS MARIJUANA 0-2 0Z,11863,Controlled Substances - Marijuana,CS Possession Marijuana S
POSS MARIJUANA 0-2 OZ,195,Controlled Substances - Marijuana,CS Possession Marijuana S
POSS MARIJUANA 2-4 0Z,8928,Controlled Substances - Marijuana,CS Possession Marijuana S
POSS MARIJUANA OVER 4 OZ,1824,Controlled Substances - Marijuana,CS Possession Marijuana S
DRIVING UNDER INFLU DRUGS,1517,Controlled Substances - Other,CS - Driving
DUICS/DRUG,2746,Controlled Substances - Other,CS - Driving
ATT DEL CONTROLLED SUBSTANCE,30,Controlled Substances - Other,CS Delivery
ATT DEL SIMULATED CONT SUBS,9,Controlled Substances - Other,CS Delivery
ATT DELIVERY OF MARIJUANA 1/2-,1,Controlled Substances - Other,CS Delivery
ATT MAN/DEL CS PG1 <1 GRAM,5,Controlled Substances - Other,CS Delivery
ATT POSS CS/WI TO DELIV PG 3/4,1,Controlled Substances - Other,CS Delivery
CONSP TO DEL SIM CON SUB,5,Controlled Substances - Other,CS Delivery
DANGEROUS DRUGS DELIVERY,1061,Controlled Substances - Other,CS Delivery
DEL ABUS GLUE/PNT-MINOR W/O PE,1,Controlled Substances - Other,CS Delivery
DEL ABUSABLE GLUE/AERSL PAINT,9,Controlled Substances - Other,CS Delivery
DEL CONT. SUBST.,588,Controlled Substances - Other,CS Delivery
DEL CS TO A MINOR,17,Controlled Substances - Other,CS Delivery
DEL CS TO MINOR - CSA,5,Controlled Substances - Other,CS Delivery
DEL VOLATILE CHEMICALS,1,Controlled Substances - Other,CS Delivery
DEL/OFFER DEL DANG DRUG,133,Controlled Substances - Other,CS Delivery
DELIVER CONT SUBST,4,Controlled Substances - Other,CS Delivery
DELIVER CONT SUBTANCE,192,Controlled Substances - Other,CS Delivery
ENG/IN ORG/CRIME/MFG/NARC,46,Controlled Substances - Other,CS Delivery
OFFER TO SELL CONTROLLED SUBTA,15,Controlled Substances - Other,CS Delivery
POSS CONT SUBT W/I TO DEL 28-1,119,Controlled Substances - Other,CS Delivery
POSS CONT SUBT W/I TO DELIV,51,Controlled Substances - Other,CS Delivery
POSS W/I DEL.CONT. SUBST.,340,Controlled Substances - Other,CS Delivery
POSS W/INT DEL CS 4G <200 GRAM,105,Controlled Substances - Other,CS Delivery
UNL MAN DANG DRUG,1,Controlled Substances - Other,CS Delivery
UNL/INT/DEL CONT SUBST,3,Controlled Substances - Other,CS Delivery
UNLAW DEL SIMULATED CONT/SUBS,8,Controlled Substances - Other,CS Delivery
CSP DEL COC 200-LT400G CRACK,1,Controlled Substances - Other,CS Delivery PG1 L
CSP DEL COC 200-LT400G NON-CR,1,Controlled Substances - Other,CS Delivery PG1 L
CSP DEL COC 400G OR MORE CRAC,1,Controlled Substances - Other,CS Delivery PG1 L
CSP DEL COC 400G OR MORE NONC,6,Controlled Substances - Other,CS Delivery PG1 L
DEL COC 200-LT400G NON-CRACK,67,Controlled Substances - Other,CS Delivery PG1 L
DEL COC 28-LT200 G NON-CRACK,259,Controlled Substances - Other,CS Delivery PG1 L
DEL COC 400G OR MORE NON-CRAC,488,Controlled Substances - Other,CS Delivery PG1 L
DEL COC 400G OR MORE-CRACK,50,Controlled Substances - Other,CS Delivery PG1 L
DEL COCAINE 200-LT400 G CRACK,17,Controlled Substances - Other,CS Delivery PG1 L
DEL GP I CS- 200 - 300 G,178,Controlled Substances - Other,CS Delivery PG1 L
DEL GP I CS- 400 G OR MORE,411,Controlled Substances - Other,CS Delivery PG1 L
MAN/DEL CS PG I 200-400 GRAMS,844,Controlled Substances - Other,CS Delivery PG1 L
MAN/DEL CS PG I OVER 400 GRAMS,2700,Controlled Substances - Other,CS Delivery PG1 L
MFG GP I CS- 200-399G,7,Controlled Substances - Other,CS Delivery PG1 L
MFG GP I CS- 400 G OR MORE,24,Controlled Substances - Other,CS Delivery PG1 L
P/W INT DEL COC 200-LT400G CR,44,Controlled Substances - Other,CS Delivery PG1 L
P/W INT DEL COC 200-LT400G NO,63,Controlled Substances - Other,CS Delivery PG1 L
P/W INT DEL COC 400GOR MORE C,77,Controlled Substances - Other,CS Delivery PG1 L
P/W INT DEL COC 400GOR MORE N,454,Controlled Substances - Other,CS Delivery PG1 L
POSS WIM/D GP I CS- 200-399G,142,Controlled Substances - Other,CS Delivery PG1 L
POSS WIM/D GP I CS-400G MORE,102,Controlled Substances - Other,CS Delivery PG1 L
POSS WIM/D GP I CS-400G OR UP,134,Controlled Substances - Other,CS Delivery PG1 L
MAN/DEL CS PG I <1GRAM,27528,Controlled Substances - Other,CS Delivery PG1 S
MAN/DEL CS PG I 1-4 GRAMS,3050,Controlled Substances - Other,CS Delivery PG1 S
MAN/DEL CS PG1 <1 GRAM,2,Controlled Substances - Other,CS Delivery PG1 S
MAN/DEL CS PG1<1 G DRUG FREE Z,11,Controlled Substances - Other,CS Delivery PG1 S
POSS W/INT MAN/DEL CS PG1 1<1,249,Controlled Substances - Other,CS Delivery PG1 S
CONSP TO DELIVER COCAINE,35,Controlled Substances - Other,CS Delivery PG1/1A
CONSP TO DELIVER HEROIN,2,Controlled Substances - Other,CS Delivery PG1/1A
CONSP W-I TO DEL.METHAMPH,1,Controlled Substances - Other,CS Delivery PG1/1A
CSP DEL COC 28-LT200 NON-CRAC,3,Controlled Substances - Other,CS Delivery PG1/1A
CSP DEL COC LT 28G NON-CRACK,2,Controlled Substances - Other,CS Delivery PG1/1A
CSP DEL COCAINE LT 28G CRACK,17,Controlled Substances - Other,CS Delivery PG1/1A
DEL COCAINE 28-LT200 G-CRACK,142,Controlled Substances - Other,CS Delivery PG1/1A
DEL COCAINE LT 28G NON CRACK,1572,Controlled Substances - Other,CS Delivery PG1/1A
DEL COCAINE LT 28G-CRACK,9496,Controlled Substances - Other,CS Delivery PG1/1A
DEL CS OXYCODONE,6,Controlled Substances - Other,CS Delivery PG1/1A
DEL GP I CS- 28 - 199 G,891,Controlled Substances - Other,CS Delivery PG1/1A
DEL GP I CS- LT 28 G,5239,Controlled Substances - Other,CS Delivery PG1/1A
DELIV PG I 1-4GR DRUG FREE ZON,1,Controlled Substances - Other,CS Delivery PG1/1A
DELIVER COCAINE,564,Controlled Substances - Other,CS Delivery PG1/1A
DELIVER HEROIN,271,Controlled Substances - Other,CS Delivery PG1/1A
DELIVER METHADONE,2,Controlled Substances - Other,CS Delivery PG1/1A
DELIVER METHAMPH,403,Controlled Substances - Other,CS Delivery PG1/1A
DELIVER OPIUM,3,Controlled Substances - Other,CS Delivery PG1/1A
MAN/DEL CS PG I 4-200 GRAMS,3166,Controlled Substances - Other,CS Delivery PG1/1A
MAN/DEL CS PG1>1G DRUG FREE ZO,3,Controlled Substances - Other,CS Delivery PG1/1A
MANUFACTURE HEROIN,1,Controlled Substances - Other,CS Delivery PG1/1A
MANUFACTURE METHAMPH,79,Controlled Substances - Other,CS Delivery PG1/1A
MFG GP I CS- 28 - 199 G,16,Controlled Substances - Other,CS Delivery PG1/1A
MFG GP I CS- LT 28 G,81,Controlled Substances - Other,CS Delivery PG1/1A
P/W INT DEL COC 28-LT200G CRA,184,Controlled Substances - Other,CS Delivery PG1/1A
P/W INT DEL COC 28-LT200G NON,137,Controlled Substances - Other,CS Delivery PG1/1A
POSS CS W/I DEL MORPHINE,1,Controlled Substances - Other,CS Delivery PG1/1A
POSS W-I TO DELIVER COCAINE_C,372,Controlled Substances - Other,CS Delivery PG1/1A
POSS W-I TO DELIVER HEROIN,59,Controlled Substances - Other,CS Delivery PG1/1A
POSS W-I TO DELIVER METHAMPH,128,Controlled Substances - Other,CS Delivery PG1/1A
POSS W-I TO DELIVER OPIUM,2,Controlled Substances - Other,CS Delivery PG1/1A
POSS W-I TO MANUF COCAINE,4,Controlled Substances - Other,CS Delivery PG1/1A
POSS W-I TO MANUF HEROIN,1,Controlled Substances - Other,CS Delivery PG1/1A
POSS W-I TO MANUF METHAMPH,68,Controlled Substances - Other,CS Delivery PG1/1A
POSS W/I D COC LT28G N-CRACK,317,Controlled Substances - Other,CS Delivery PG1/1A
POSS W/I D COUNTERFEIT SUB COC,1,Controlled Substances - Other,CS Delivery PG1/1A
POSS W/I DEL COC LT28G CRACK,1217,Controlled Substances - Other,CS Delivery PG1/1A
POSS W/INT DEL CS PG1 1G <4 GR,1928,Controlled Substances - Other,CS Delivery PG1/1A
POSS W/INT DEL CS PG1>=4 <200,6899,Controlled Substances - Other,CS Delivery PG1/1A
POSS WIM/D GP I CS- LT 28 G,685,Controlled Substances - Other,CS Delivery PG1/1A
POSS WIM/D GP I CS-28-199 G,120,Controlled Substances - Other,CS Delivery PG1/1A
DEL CS PG1A 20-79 ABUSE UNITS,2,Controlled Substances - Other,CS Delivery PG1/1A
DELIVER LSD,93,Controlled Substances - Other,CS Delivery PG1/1A
MANUFACTURE LSD,3,Controlled Substances - Other,CS Delivery PG1/1A
POSS CS WIM/D PG1A 80-3999 AU',16,Controlled Substances - Other,CS Delivery PG1/1A
POSS CS WIM/DEL PG1A 20-79 AU',16,Controlled Substances - Other,CS Delivery PG1/1A
POSS W-I TO DELIVER LSD,17,Controlled Substances - Other,CS Delivery PG1/1A
DEL CS PG1A 80-3999 ABUSE UNIT,5,Controlled Substances - Other,CS Delivery PG1/1A
MAN/DEL CS PG1A >= 4000 AU'S L,1,Controlled Substances - Other,CS Delivery PG1/1A
POSS CS WIM/D PG1A => 4000 AU',4,Controlled Substances - Other,CS Delivery PG1/1A
DEL CS PG1A <20 ABUSE UNITS LS,32,Controlled Substances - Other,CS Delivery PG1/1A
MFG. CS PG1A <20 ABUSE UNITS L,1,Controlled Substances - Other,CS Delivery PG1/1A
POSS CS WIM/DEL PG1A <20 AU'S,6,Controlled Substances - Other,CS Delivery PG1/1A
CONSP W-I TO DELIVER AMPHET,1,Controlled Substances - Other,CS Delivery PG2
DEL CS METHAQUALONE,52,Controlled Substances - Other,CS Delivery PG2
DEL GP II CS- 28 - 399 G,92,Controlled Substances - Other,CS Delivery PG2
DEL GP II CS- LT 28 G,221,Controlled Substances - Other,CS Delivery PG2
DELIVER AMPHETAMINE,50,Controlled Substances - Other,CS Delivery PG2
DELIVER HASHISH,32,Controlled Substances - Other,CS Delivery PG2
DELIVER MESCALINE,6,Controlled Substances - Other,CS Delivery PG2
MAN/DEL CS PG II 1-4 GRAMS,279,Controlled Substances - Other,CS Delivery PG2
MAN/DEL CS PG2>1G DRUG FREE ZO,1,Controlled Substances - Other,CS Delivery PG2
MANUFACTURE AMPHETAMINE,2,Controlled Substances - Other,CS Delivery PG2
MANUFACTURE HASHISH,1,Controlled Substances - Other,CS Delivery PG2
MFG GP II CS- LT 28 G,3,Controlled Substances - Other,CS Delivery PG2
POSS CS W/I DEL METHAQUALONE,40,Controlled Substances - Other,CS Delivery PG2
POSS W-I TO DELIVE AMPHETAMINE,31,Controlled Substances - Other,CS Delivery PG2
POSS W-I TO DELIVER HASHISH,48,Controlled Substances - Other,CS Delivery PG2
POSS W-I TO MANUF AMPHETAMINE,2,Controlled Substances - Other,CS Delivery PG2
POSS WIM/D GP II CS- LT 28G,48,Controlled Substances - Other,CS Delivery PG2
MAN/DEL CS PG II < 1 GRAMS,267,Controlled Substances - Other,CS Delivery PG2
MAN/DEL CS PG2<1G DRUG FREE ZO,1,Controlled Substances - Other,CS Delivery PG2
DEL GP II CS- 400 G OR MORE,22,Controlled Substances - Other,CS Delivery PG2 L
MAN/DEL CS PG II 4-400 GRAMS,829,Controlled Substances - Other,CS Delivery PG2 L
MAN/DEL CS PG II OVER 400 GRAM,152,Controlled Substances - Other,CS Delivery PG2 L
MFG GP II CS- 28 - 399 G,92,Controlled Substances - Other,CS Delivery PG2 L
MFG GP II CS- 400 G OR MORE,12,Controlled Substances - Other,CS Delivery PG2 L
POSS WIM/D GP II CS- 28-399G,52,Controlled Substances - Other,CS Delivery PG2 L
POSS WIM/D GP II CS-400G OR UP,35,Controlled Substances - Other,CS Delivery PG2 L
DEL GP 3 OR 4 CS- LT 200G,782,Controlled Substances - Other,CS Delivery PG3/4
DELIVER BARBITURATE,57,Controlled Substances - Other,CS Delivery PG3/4
DELIVERY ANABOLIC STEROID,5,Controlled Substances - Other,CS Delivery PG3/4
DISP/DEL ANABOLIC STEROID/PHAR,1,Controlled Substances - Other,CS Delivery PG3/4
MAN/DEL CS PG III/IV 28-200 GR,500,Controlled Substances - Other,CS Delivery PG3/4
MAN/DEL CS PG III/IV OVER 400,250,Controlled Substances - Other,CS Delivery PG3/4
MAN/DEL CS PG3/4>28G DRUG FREE,4,Controlled Substances - Other,CS Delivery PG3/4
MANUFACTURE BARBITURATE,1,Controlled Substances - Other,CS Delivery PG3/4
MFG GP 3 OR 4 CS- LT 200 G,3,Controlled Substances - Other,CS Delivery PG3/4
POSS W-I TO DELIVER BARBIT,46,Controlled Substances - Other,CS Delivery PG3/4
POSS WIM/D GP 3/4 CS-400G & UP,261,Controlled Substances - Other,CS Delivery PG3/4
DEL GP 3 OR 4 CS- 200-300 G,32,Controlled Substances - Other,CS Delivery PG3/4
DEL GP 3 OR 4 CS- 400G OR MORE,64,Controlled Substances - Other,CS Delivery PG3/4
MAN/DEL CS PG III/IV 200-400 G,152,Controlled Substances - Other,CS Delivery PG3/4
MFG GP 3 OR 4 CS- 200-399 G,6,Controlled Substances - Other,CS Delivery PG3/4
MFG GP 3 OR 4 CS- 400G OR MORE,4,Controlled Substances - Other,CS Delivery PG3/4
POSS WIM/D GP 3/4 CS- 200-399G,197,Controlled Substances - Other,CS Delivery PG3/4
MAN/DEL CS PG III/IV  <28 GRAM,503,Controlled Substances - Other,CS Delivery PG3/4
MAN/DEL CS PG3/4<28G DRUG FREE,4,Controlled Substances - Other,CS Delivery PG3/4
POSS WIM/D GP 3/4 CS- LT 28G,231,Controlled Substances - Other,CS Delivery PG3/4
DEL SIMULATED CON SUBS 12.44A,138,Controlled Substances - Other,CS Delivery Simulated
DEL SIMULATED CONTROLLED SUB.,2,Controlled Substances - Other,CS Delivery Simulated
MAN/DEL CS NOT IN PG - SYNTHET,2,Controlled Substances - Other,CS Delivery Simulated
MAN/DEL CS NOT IN PG DRUG FREE,3,Controlled Substances - Other,CS Delivery Simulated
MAN/DEL SIM CS REP TO BE CS,28,Controlled Substances - Other,CS Delivery Simulated
MAN/DEL SIM CS-MISLEAD PERS,1173,Controlled Substances - Other,CS Delivery Simulated
MFG/DEL SIMULATED CONT SUBS,603,Controlled Substances - Other,CS Delivery Simulated
POSS CONTERFEIT SUBST W/I D,3,Controlled Substances - Other,CS Delivery Simulated
ATT CONTROLLED SUBSTANCE FRAUD,67,Controlled Substances - Other,CS Other
ATT ILL BARTER/EXPEN PROP/FINA,1,Controlled Substances - Other,CS Other
FALSIFY DRUG TEST RESULTS,119,Controlled Substances - Other,CS Other
GLUE VIOLATION,131,Controlled Substances - Other,CS Other
ILL EXPENDITURE INVESTMENT DRU,58,Controlled Substances - Other,CS Other
ILLEGAL INVESTMENT DRUGS,152,Controlled Substances - Other,CS Other
OBTAINING DRUGS BY TELEPHONE,163,Controlled Substances - Other,CS Other
OBTAINING DRUGS BY TELEPHONE/P,37,Controlled Substances - Other,CS Other
POSS ANABOLIC STEROID,5,Controlled Substances - Other,CS Other
POSS/TRANS/CHEM W/I/M CS,85,Controlled Substances - Other,CS Other
POSS/USE ABUSABLE VOLATILE,226,Controlled Substances - Other,CS Other
POSS/USE VOLATILE CHEMICALS,66,Controlled Substances - Other,CS Other
POSSESSION NITROUS OXIDE,4,Controlled Substances - Other,CS Other
POSSESSION OF INHALANT,1297,Controlled Substances - Other,CS Other
POSSESSION VOLATILE CHEMICLE,65,Controlled Substances - Other,CS Other
UNLAW TRANS/RECEIPT CHEM PRECU,1,Controlled Substances - Other,CS Other
ILLEGAL INVESTMENT,102,Controlled Substances - Other,CS Other
AGG POSS OF CONTROLLED SUBS,10,Controlled Substances - Other,CS Other
DEL DRUG PARA,7,Controlled Substances - Other,CS Paraphernalia
DEL DRUG PARA-UNDER 18 YRS,7,Controlled Substances - Other,CS Paraphernalia
DEL DRUG PARAPHERNALIA,72,Controlled Substances - Other,CS Paraphernalia
DEL DRUG PARAPHERNALIA-ENH,1,Controlled Substances - Other,CS Paraphernalia
DELIV DRUG PARAPHANAILIA,1,Controlled Substances - Other,CS Paraphernalia
DELIV DRUG PARAPHERNALIA,4,Controlled Substances - Other,CS Paraphernalia
INHALANT PARAPHERNALIA,131,Controlled Substances - Other,CS Paraphernalia
MFG DRUG PARA - WID,1,Controlled Substances - Other,CS Paraphernalia
POSS  DRUG PARAPHERNALIA,4867,Controlled Substances - Other,CS Paraphernalia
POSS DRUG PARA - WID,28,Controlled Substances - Other,CS Paraphernalia
POSS NARC PARAPHENALIA,32,Controlled Substances - Other,CS Paraphernalia
ATT POSS DANGEROUS DRUGS,3,Controlled Substances - Other,CS Possession
ATT TO ACQUIRE CONT SUBS,1,Controlled Substances - Other,CS Possession
ATTEMPT TO POSS CONT SUBT,37,Controlled Substances - Other,CS Possession
ATTEMPT TO POSSES CONTROL SUBS,91,Controlled Substances - Other,CS Possession
ATT POSS PROH SUB CORRECT FACI,41,Controlled Substances - Other,CS Possession
ATT POSS PG 1 1-4 GRAMS,49,Controlled Substances - Other,CS Possession
ATT POSSESSION COCAINE       1,108,Controlled Substances - Other,CS Possession
ATT POSS CS PG1 W/INT DEL=>400,1,Controlled Substances - Other,CS Possession
ATT POSS CONT SUBT - PG II,10,Controlled Substances - Other,CS Possession
ATT POSS CS PG 3 28-200 GRAMS,185,Controlled Substances - Other,CS Possession
ATT POSS CS PG4>=28G <200 GRAM,259,Controlled Substances - Other,CS Possession
CONTRABAND IN CORREC FACILITY,2,Controlled Substances - Other,CS Possession
CONTROLLED SUBSTANCE,6674,Controlled Substances - Other,CS Possession
DANGEROUS DRUGS,68,Controlled Substances - Other,CS Possession
POSS CONT SUBSTANCE,12,Controlled Substances - Other,CS Possession
POSS DANG DRUG - FREE SCHOOL Z,35,Controlled Substances - Other,CS Possession
POSS DANGEROUS DRUG,5519,Controlled Substances - Other,CS Possession
POSS W/INTENT TO INHALE,435,Controlled Substances - Other,CS Possession
PROH SUBSTANCE CORRECT FACILIT,394,Controlled Substances - Other,CS Possession
UNLAW INT/KNOW POSS CS <28 GRA,6,Controlled Substances - Other,CS Possession
UNLAW INT/KNOW POSS DANG DRUG,1,Controlled Substances - Other,CS Possession
POSS CS NOT IN PG - SYNTHETIC,13,Controlled Substances - Other,CS Possession
POSS CS NOT IN PG DRUG FREE ZO,15,Controlled Substances - Other,CS Possession
CSP POSS COC 200-LT400G NONCR,1,Controlled Substances - Other,CS Possession PG1 L
CSP POSS COC 400G O/MORE NONC,3,Controlled Substances - Other,CS Possession PG1 L
POSS COC 200-LT400G NON CRACK,70,Controlled Substances - Other,CS Possession PG1 L
POSS COC 400G OR M/NON-CRACK,181,Controlled Substances - Other,CS Possession PG1 L
POSS COCAINE 200-LT400G CRACK,59,Controlled Substances - Other,CS Possession PG1 L
POSS COCAINE 400G OR M/CRACK,42,Controlled Substances - Other,CS Possession PG1 L
POSS CS PG 1 200-400GR,462,Controlled Substances - Other,CS Possession PG1 L
POSS GP I CS- 400 G OR MORE,619,Controlled Substances - Other,CS Possession PG1 L
POSS PG 1 OVER 400 GRAMS,2,Controlled Substances - Other,CS Possession PG1 L
POSS CS PG 1 <1G,136980,Controlled Substances - Other,CS Possession PG1 S
POSS CS PG1 <1 GRAM,8,Controlled Substances - Other,CS Possession PG1 S
POSS CS PG1<1G DRUG FREE ZONE,79,Controlled Substances - Other,CS Possession PG1 S
CSP POSS COC  LT28G NON CRACK,3,Controlled Substances - Other,CS Possession PG1/1A
CSP POSS COCAINE LT 28G-CRACK,7,Controlled Substances - Other,CS Possession PG1/1A
POSS COC 28-LT 400G,7,Controlled Substances - Other,CS Possession PG1/1A
POSS COC 28-LT200G-NON-CRACK,255,Controlled Substances - Other,CS Possession PG1/1A
POSS COCAINE 28-LT200G CRACK,249,Controlled Substances - Other,CS Possession PG1/1A
POSS COCAINE LT 28G-CRACK,27376,Controlled Substances - Other,CS Possession PG1/1A
POSS COCAINE LT 28G-NON-CRACK,5943,Controlled Substances - Other,CS Possession PG1/1A
POSS CS MORPHINE,5,Controlled Substances - Other,CS Possession PG1/1A
POSS CS OXYCODONE,18,Controlled Substances - Other,CS Possession PG1/1A
POSS CS PG 1  1 - 4 GRAMS,13524,Controlled Substances - Other,CS Possession PG1/1A
POSS CS PG 1 4G - 200G,10931,Controlled Substances - Other,CS Possession PG1/1A
POSS CS PG1 1-4 GRAMS,7,Controlled Substances - Other,CS Possession PG1/1A
POSS CS PG1>1G DRUG FREE ZONE,27,Controlled Substances - Other,CS Possession PG1/1A
POSS GP I CS- 28 - 399 G,902,Controlled Substances - Other,CS Possession PG1/1A
POSS GP I CS- LT 28 G,18491,Controlled Substances - Other,CS Possession PG1/1A
POSS LSD,144,Controlled Substances - Other,CS Possession PG1/1A
POSS METHAMPHETAMINE,2023,Controlled Substances - Other,CS Possession PG1/1A
POSSESS COCAINE,1512,Controlled Substances - Other,CS Possession PG1/1A
POSSESS HEROIN,596,Controlled Substances - Other,CS Possession PG1/1A
POSSESS METHADONE,20,Controlled Substances - Other,CS Possession PG1/1A
POSSESS OPIUM,12,Controlled Substances - Other,CS Possession PG1/1A
UNL INT/KNOW P/CS PG1 4-200G,1,Controlled Substances - Other,CS Possession PG1/1A
UNLAW POSS  COCAINE,25,Controlled Substances - Other,CS Possession PG1/1A
POSS CS PG1A >=80 ABUSE UNITS,19,Controlled Substances - Other,CS Possession PG1/1A
POSS CS PG1A >=8000 ABUSE UNIT,1,Controlled Substances - Other,CS Possession PG1/1A
POSS CS PG1A 20-79 ABUSE UNITS,31,Controlled Substances - Other,CS Possession PG1/1A
POSS CS PG1A 4000-7999 AU'S LS,4,Controlled Substances - Other,CS Possession PG1/1A
POSS CS PG1A <20 ABUSE UNITS L,153,Controlled Substances - Other,CS Possession PG1/1A
POSS CONT SUBT - PG II,24,Controlled Substances - Other,CS Possession PG2
POSS CS MESCALINE,1,Controlled Substances - Other,CS Possession PG2
POSS CS PG 2 1-4 GRAMS,1151,Controlled Substances - Other,CS Possession PG2
POSS CS PG2>1G DRUG FREE ZONE,15,Controlled Substances - Other,CS Possession PG2
